Codice Vigneto,prod m,prod sd
vigneto 1,0.10001182,0.036124297
vigneto 2,0.056609093,0.007052662
vigneto 3,0.076818783,0.027244804
vigneto 4 T,0.050751336,0.004887047
vigneto 4 S,0.125548387,0.078334059
vigneto 4 M,0.075462963,0.018958884
vigneto 5,0.056203141,0.009992966
vigneto 6,0.127046131,0.049297549
vigneto 7,0.142020202,0.050693386
vigneto 8,0.055555556,0.027498597
vigneto 9,0.084276607,0.023636206
vigneto 10,0.0469263,0.016291199
vigneto 11,0.115516513,0.041497838
vigneto 13 S,0.077420635,0.02675801
vigneto 13 P,0.025838509,0.011946152
vigneto 14 M,0.063166667,0.024496598
vigneto 14 S,0.066414141,0.022477585
vigneto 15,0.127361111,0.074582557
vigneto 16,0.039930902,0.001554499
